n_estimators,max_features,max_depth,min_samples_split,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
500,log2,20.0,2,,0.7991,0.9987,0.8618,0.8274,0.7991,0.8051,0.0243,0.1559,0.0013,0.2009,-0.1995,0.5181,0.2196,0.3077,0.6937,0.7098,0.7016,0.9616,0.9662,0.9628,0.9712,0.9616,0.9663,0.9305,0.966,0.9479,0.8469,0.8098,0.8277,0.8019,0.8692,0.8341,0.8955,0.8909,0.893
500,sqrt,20.0,2,,0.7991,0.9987,0.8618,0.8274,0.7991,0.8051,0.0243,0.1559,0.0013,0.2009,-0.1995,0.5181,0.2196,0.3077,0.6937,0.7098,0.7016,0.9616,0.9662,0.9628,0.9712,0.9616,0.9663,0.9305,0.966,0.9479,0.8469,0.8098,0.8277,0.8019,0.8692,0.8341,0.8955,0.8909,0.893
300,sqrt,,2,,0.7989,0.9999,0.8618,0.8275,0.7989,0.8051,0.0244,0.1561,0.0001,0.2011,-0.201,0.5173,0.2206,0.3081,0.6945,0.7122,0.7032,0.9616,0.9662,0.9628,0.97,0.962,0.966,0.9311,0.9658,0.9481,0.8501,0.8078,0.828,0.8024,0.8672,0.8334,0.8932,0.8897,0.8913
300,log2,,2,,0.7989,0.9999,0.8618,0.8275,0.7989,0.8051,0.0244,0.1561,0.0001,0.2011,-0.201,0.5173,0.2206,0.3081,0.6945,0.7122,0.7032,0.9616,0.9662,0.9628,0.97,0.962,0.966,0.9311,0.9658,0.9481,0.8501,0.8078,0.828,0.8024,0.8672,0.8334,0.8932,0.8897,0.8913
300,log2,20.0,2,,0.7987,0.9987,0.8622,0.8279,0.7987,0.8051,0.0244,0.1562,0.0013,0.2013,-0.1999,0.5218,0.2206,0.3095,0.6937,0.7107,0.7021,0.9616,0.9662,0.9628,0.9717,0.9622,0.9669,0.9322,0.9665,0.949,0.8466,0.8078,0.8265,0.8015,0.8698,0.8341,0.8937,0.8861,0.8898
300,sqrt,20.0,2,,0.7987,0.9987,0.8622,0.8279,0.7987,0.8051,0.0244,0.1562,0.0013,0.2013,-0.1999,0.5218,0.2206,0.3095,0.6937,0.7107,0.7021,0.9616,0.9662,0.9628,0.9717,0.9622,0.9669,0.9322,0.9665,0.949,0.8466,0.8078,0.8265,0.8015,0.8698,0.8341,0.8937,0.8861,0.8898
500,log2,,5,,0.7986,0.994,0.8611,0.8282,0.7986,0.8049,0.0244,0.1563,0.006,0.2014,-0.1955,0.5256,0.2206,0.3093,0.6925,0.7101,0.7011,0.9616,0.9662,0.9628,0.971,0.961,0.966,0.9313,0.9651,0.9478,0.851,0.8137,0.8317,0.7991,0.8682,0.8322,0.8935,0.8837,0.8885
500,sqrt,,5,,0.7986,0.994,0.8611,0.8282,0.7986,0.8049,0.0244,0.1563,0.006,0.2014,-0.1955,0.5256,0.2206,0.3093,0.6925,0.7101,0.7011,0.9616,0.9662,0.9628,0.971,0.961,0.966,0.9313,0.9651,0.9478,0.851,0.8137,0.8317,0.7991,0.8682,0.8322,0.8935,0.8837,0.8885
500,sqrt,20.0,5,,0.798,0.9867,0.8618,0.8279,0.798,0.8046,0.0244,0.1564,0.0133,0.202,-0.1887,0.5156,0.2156,0.3032,0.6948,0.714,0.7042,0.9616,0.9662,0.9628,0.9707,0.961,0.9658,0.931,0.9665,0.9484,0.8534,0.8059,0.8287,0.801,0.8688,0.8334,0.8949,0.8861,0.8904
500,sqrt,,2,,0.798,0.9999,0.8615,0.8256,0.798,0.8037,0.0243,0.156,0.0001,0.202,-0.2019,0.5111,0.2166,0.303,0.6939,0.7098,0.7016,0.9616,0.9662,0.9628,0.9705,0.9619,0.9662,0.9305,0.9663,0.948,0.8447,0.8059,0.8245,0.8026,0.8682,0.834,0.8898,0.8897,0.8896
500,log2,,2,,0.798,0.9999,0.8615,0.8256,0.798,0.8037,0.0243,0.156,0.0001,0.202,-0.2019,0.5111,0.2166,0.303,0.6939,0.7098,0.7016,0.9616,0.9662,0.9628,0.9705,0.9619,0.9662,0.9305,0.9663,0.948,0.8447,0.8059,0.8245,0.8026,0.8682,0.834,0.8898,0.8897,0.8896
500,log2,20.0,5,,0.798,0.9867,0.8618,0.8279,0.798,0.8046,0.0244,0.1564,0.0133,0.202,-0.1887,0.5156,0.2156,0.3032,0.6948,0.714,0.7042,0.9616,0.9662,0.9628,0.9707,0.961,0.9658,0.931,0.9665,0.9484,0.8534,0.8059,0.8287,0.801,0.8688,0.8334,0.8949,0.8861,0.8904
