kernel,C,gamma,class_weight,degree,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
rbf,0.5,0.05,balanced,2,0.7985,0.807,0.7777,0.7,0.7985,0.7179,0.0309,0.1758,0.193,0.2015,-0.0085,0.2817,0.6934,0.4004,0.762,0.3509,0.479,0.7431,1.0,0.8517,0.9847,0.8965,0.9385,0.8932,0.9354,0.9137,0.4978,0.8608,0.6302,0.7478,0.7561,0.7518,0.6896,0.8945,0.7781
linear,0.1,0.1,balanced,3,0.7972,0.797,0.7755,0.6971,0.7972,0.716,0.0324,0.18,0.203,0.2028,0.0001,0.2834,0.6863,0.4011,0.7604,0.3757,0.5026,0.7536,1.0,0.8588,0.982,0.8995,0.9389,0.8857,0.8986,0.892,0.4562,0.8765,0.5991,0.7559,0.7583,0.757,0.6993,0.8825,0.7788
linear,0.1,0.01,balanced,3,0.7972,0.797,0.7755,0.6971,0.7972,0.716,0.0324,0.18,0.203,0.2028,0.0001,0.2834,0.6863,0.4011,0.7604,0.3757,0.5026,0.7536,1.0,0.8588,0.982,0.8995,0.9389,0.8857,0.8986,0.892,0.4562,0.8765,0.5991,0.7559,0.7583,0.757,0.6993,0.8825,0.7788
linear,0.1,0.001,balanced,3,0.7972,0.797,0.7755,0.6971,0.7972,0.716,0.0324,0.18,0.203,0.2028,0.0001,0.2834,0.6863,0.4011,0.7604,0.3757,0.5026,0.7536,1.0,0.8588,0.982,0.8995,0.9389,0.8857,0.8986,0.892,0.4562,0.8765,0.5991,0.7559,0.7583,0.757,0.6993,0.8825,0.7788
linear,0.1,auto,balanced,3,0.7972,0.797,0.7755,0.6971,0.7972,0.716,0.0324,0.18,0.203,0.2028,0.0001,0.2834,0.6863,0.4011,0.7604,0.3757,0.5026,0.7536,1.0,0.8588,0.982,0.8995,0.9389,0.8857,0.8986,0.892,0.4562,0.8765,0.5991,0.7559,0.7583,0.757,0.6993,0.8825,0.7788
linear,0.1,scale,balanced,2,0.7972,0.797,0.7755,0.6971,0.7972,0.716,0.0324,0.18,0.203,0.2028,0.0001,0.2834,0.6863,0.4011,0.7604,0.3757,0.5026,0.7536,1.0,0.8588,0.982,0.8995,0.9389,0.8857,0.8986,0.892,0.4562,0.8765,0.5991,0.7559,0.7583,0.757,0.6993,0.8825,0.7788
poly,50.0,scale,balanced,3,0.7933,0.8514,0.8015,0.7639,0.7933,0.7624,0.0358,0.1891,0.1486,0.2067,-0.0581,0.3244,0.5993,0.4202,0.7606,0.3901,0.5138,0.9301,0.9529,0.9403,0.989,0.8847,0.934,0.9358,0.9376,0.9366,0.6394,0.8078,0.7129,0.6964,0.8702,0.7735,0.8352,0.9041,0.8679
poly,100.0,0.1,balanced,3,0.7906,0.8662,0.8035,0.7589,0.7906,0.7603,0.036,0.1897,0.1338,0.2094,-0.0755,0.3172,0.5911,0.4124,0.7419,0.4081,0.5242,0.9178,0.9529,0.9342,0.987,0.8978,0.9403,0.9356,0.9364,0.9359,0.618,0.7863,0.6909,0.7104,0.8556,0.7761,0.8433,0.8969,0.8688
rbf,25.0,0.001,balanced,2,0.7893,0.7921,0.7673,0.6854,0.7893,0.7029,0.0332,0.1821,0.2079,0.2107,-0.0029,0.2818,0.6842,0.399,0.7565,0.3498,0.4779,0.7262,1.0,0.8401,0.9832,0.894,0.9365,0.878,0.8867,0.8823,0.4174,0.8647,0.5626,0.7461,0.7604,0.7531,0.6938,0.8741,0.7717
poly,50.0,0.05,balanced,2,0.7856,0.8219,0.778,0.7309,0.7856,0.7344,0.0359,0.1894,0.1781,0.2144,-0.0363,0.2986,0.6377,0.4064,0.7597,0.3425,0.4707,0.9113,0.9529,0.931,0.9777,0.86,0.9151,0.893,0.9349,0.9134,0.5413,0.8392,0.6573,0.7052,0.8266,0.761,0.7605,0.8909,0.8205
